group	cancer_label	detected_n	cancer_detected_n	noncancer_detected_n	precision	odds_ratio	p_value	p_adjust_BH	p_adjust_BY	precision_percent	tool	norm_method	comparison_method
log_family_mean_TOX	MERGED	3308	670	2638	0.20253929866989118	0.9926188785094615	0.5693171672515419	0.7401123174270046	1	20.25	TOX	log	family_mean
log_family_mean_TOX	CGC	3308	69	3239	0.02085852478839178	0.5699927985045381	0.999998397196364	0.999999999855699	1	2.09	TOX	log	family_mean
log_family_mean_TOX	OncoKB	3308	156	3152	0.0471584038694075	0.6212428784838233	0.9999999937509756	0.999999999855699	1	4.72	TOX	log	family_mean
log_ortholog_mean_TOX	NCG	3316	622	2694	0.1875753920386007	1.0553707867736888	0.14586749402599453	0.2370346777922411	1	18.76	TOX	log	ortholog_mean
log_ortholog_mean_TOX	MERGED	3316	668	2648	0.2014475271411339	0.9842572439024969	0.6367216844620547	0.7883220855244487	1	20.14	TOX	log	ortholog_mean
log_ortholog_mean_TOX	CGC	3316	70	3246	0.021109770808202654	0.5778990272823008	0.9999974708434094	0.999999999855699	1	2.11	TOX	log	ortholog_mean
log_ortholog_mean_TOX	OncoKB	3316	161	3155	0.0485524728588661	0.6436721600901187	0.9999999462782849	0.999999999855699	1	4.86	TOX	log	ortholog_mean
std_log_family_mean_TOX	OncoKB	6939	625	6314	0.09007061536244415	1.771160597215244	1.2683933928290035e-20	3.005026986708904e-19	1.3636944538716924e-18	9.01	TOX	std_log	family_mean
std_log_family_mean_TOX	CGC	6939	320	6619	0.04611615506557141	2.003841276642643	1.2971199620974122e-15	1.0828796850332456e-14	4.914155603998279e-14	4.61	TOX	std_log	family_mean
std_log_family_mean_TOX	MERGED	6939	1613	5326	0.23245424412739588	1.3552205856895043	2.910149519874722e-15	1.8915971879185693e-14	8.584151175790169e-14	23.25	TOX	std_log	family_mean
std_log_family_mean_TOX	NCG	6939	1429	5510	0.20593745496469232	1.3293334313895633	1.3394385084122361e-12	4.975057316959734e-12	2.25770287616022e-11	20.59	TOX	std_log	family_mean
std_log_ortholog_mean_TOX	OncoKB	6954	626	6328	0.09002013229795801	1.7708270852391943	1.3052930174668322e-20	3.005026986708904e-19	1.3636944538716924e-18	9	TOX	std_log	ortholog_mean
std_log_ortholog_mean_TOX	CGC	6954	321	6633	0.04616048317515099	2.0117371456518542	9.152389881809395e-16	9.518485477081771e-15	4.3195305439072446e-14	4.62	TOX	std_log	ortholog_mean
std_log_ortholog_mean_TOX	MERGED	6954	1609	5345	0.23137762438884096	1.3407602511305112	2.499051104959942e-14	1.1813696132537907e-13	5.361107226964149e-13	23.14	TOX	std_log	ortholog_mean
std_log_ortholog_mean_TOX	NCG	6954	1427	5527	0.20520563704342823	1.3189246338983627	5.214738544648533e-12	1.694790027010773e-11	7.691031629778605e-11	20.52	TOX	std_log	ortholog_mean
