cancer_id	group	cancer_label	detected_n	cancer_detected_n	noncancer_detected_n	precision	odds_ratio	p_value	p_adjust_BH	p_adjust_BY	precision_percent	tool	norm_method	comparison_method
TCGA-THCA	ALL_DGE	OncoKB	13228	937	12291	0.07083459328696703	1.3834283596022665	0.0014203657174896994	0.005205525600542387	0.023622903961742082	7.08	DGE	NA	NA
TCGA-THCA	ALL_DGE	MERGED	13228	2728	10500	0.20622921076504386	1.2124196560982998	0.0015015939232333809	0.005205525600542387	0.023622903961742082	20.62	DGE	NA	NA
TCGA-THCA	ALL_DGE	NCG	13228	2422	10806	0.18309646205019656	1.176883406908165	0.008241149407283203	0.015304991756383092	0.06945472525552861	18.31	DGE	NA	NA
TCGA-THCA	ALL_DGE	CGC	13228	444	12784	0.03356516480193529	1.4344357493604032	0.012421937837521022	0.02083679895326107	0.09455830944174533	3.36	DGE	NA	NA
TCGA-THCA	ALL_TOX	NCG	6892	1312	5580	0.19036564132327335	1.13349135634271	0.0017037391299896674	0.005537152172466419	0.025127839920352467	19.04	TOX	NA	NA
TCGA-THCA	ALL_TOX	MERGED	6892	1453	5439	0.2108241439349971	1.0978632735232845	0.011401065955303373	0.019761847655859182	0.0896801332092763	21.08	TOX	NA	NA
TCGA-THCA	ALL_TOX	CGC	6892	237	6655	0.034387695879280325	1.1260515019772408	0.10712424203757422	0.15473501627649608	0.7021943045746244	3.44	TOX	NA	NA
TCGA-THCA	ALL_TOX	OncoKB	6892	485	6407	0.0703714451538015	1.0528864244521186	0.22215200864598195	0.3122136337727314	1	7.04	TOX	NA	NA
TCGA-THCA	ALL_edgeR	OncoKB	12385	880	11505	0.07105369398465886	1.2630430906589245	0.004815497426273363	0.010790435963981484	0.048967472651734366	7.11	edgeR	NA	NA
TCGA-THCA	ALL_edgeR	CGC	12385	420	11965	0.03391199031085991	1.3595316955571817	0.010500569085243676	0.01882860663560935	0.08544504444278886	3.39	edgeR	NA	NA
TCGA-THCA	ALL_edgeR	MERGED	12385	2542	9843	0.20524828421477595	1.0977003659469808	0.04434427435021891	0.06987582624882979	0.31709957060848804	20.52	edgeR	NA	NA
