cancer_id	group	cancer_label	detected_n	cancer_detected_n	noncancer_detected_n	precision	odds_ratio	p_value	p_adjust_BH	p_adjust_BY	precision_percent	tool	norm_method	comparison_method
TCGA-BLCA	ALL_DGE	MERGED	9870	2124	7746	0.21519756838905776	1.3856344408641466	8.23795567124081e-6	9.061751238364891e-5	3.962455427890519e-4	21.52	DGE	NA	NA
TCGA-BLCA	ALL_DGE	OncoKB	9870	726	9144	0.07355623100303951	1.7148815563224928	1.8732268792222847e-5	1.1774568955111504e-4	5.148696255280503e-4	7.36	DGE	NA	NA
TCGA-BLCA	ALL_DGE	NCG	9870	1883	7987	0.19078014184397163	1.308579561640198	3.237763195445337e-4	0.001187179838329957	0.005191212019103657	19.08	DGE	NA	NA
TCGA-BLCA	ALL_DGE	CGC	9870	342	9528	0.034650455927051675	1.642405434785861	0.004664151304301648	0.014658761242090894	0.06409874484741988	3.47	DGE	NA	NA
TCGA-BLCA	ALL_TOX	NCG	3162	622	2540	0.19671094244149273	1.1002863872236093	0.03887951526873196	0.09503881510134479	0.415578687664967	19.67	TOX	NA	NA
TCGA-BLCA	ALL_TOX	MERGED	3162	682	2480	0.21568627450980393	1.0560864047849459	0.14937518577956052	0.2527887759346409	1	21.57	TOX	NA	NA
TCGA-BLCA	ALL_TOX	OncoKB	3162	199	2963	0.06293485135989879	0.8555010060073517	0.9710369002161257	0.9999941455049572	1	6.29	TOX	NA	NA
TCGA-BLCA	ALL_TOX	CGC	3162	84	3078	0.026565464895635674	0.7395492591278742	0.9939763170967106	0.9999941455049572	1	2.66	TOX	NA	NA
TCGA-BLCA	ALL_edgeR	OncoKB	8816	663	8153	0.07520417422867513	1.511919311116422	1.2848090758540709e-5	1.0808603570041952e-4	4.726306070145179e-4	7.52	edgeR	NA	NA
TCGA-BLCA	ALL_edgeR	CGC	8816	312	8504	0.03539019963702359	1.4618804555591625	0.003839992266547578	0.012996896902161032	0.05683186761700831	3.54	edgeR	NA	NA
TCGA-BLCA	ALL_edgeR	MERGED	8816	1888	6928	0.21415607985480944	1.1552411336345232	0.0065854991489590845	0.01931746417027998	0.0844699757708404	21.42	edgeR	NA	NA
TCGA-BLCA	ALL_edgeR	NCG	8816	1664	7152	0.18874773139745918	1.0835698180193345	0.09467420349038608	0.1932717818790566	0.8451245250724047	18.87	edgeR	NA	NA
TCGA-BLCA	ALL_limma	OncoKB	8087	618	7469	0.07641894398417212	1.463212620822348	7.537108047661136e-6	9.061751238364891e-5	3.962455427890519e-4	7.64	limma	NA	NA
TCGA-BLCA	ALL_limma	MERGED	8087	1772	6315	0.21911710152095956	1.2485367490053734	1.4739004868239025e-5	1.0808603570041952e-4	4.726306070145179e-4	21.91	limma	NA	NA
