cancer_id	group	cancer_label	detected_n	cancer_detected_n	noncancer_detected_n	precision	odds_ratio	p_value	p_adjust_BH	p_adjust_BY	precision_percent	tool	norm_method	comparison_method
TCGA-KIRC	ALL_DGE	MERGED	15096	3088	12008	0.20455749867514572	1.1841838194129986	0.01743198752700511	0.0335727167186765	0.15235446401366903	20.46	DGE	NA	NA
TCGA-KIRC	ALL_DGE	OncoKB	15096	1048	14048	0.06942236354001059	1.2440870330726579	0.05180466659403855	0.08689815041580659	0.3943476258212481	6.94	DGE	NA	NA
TCGA-KIRC	ALL_DGE	NCG	15096	2746	12350	0.18190249072602013	1.1438343343141808	0.05491533947176452	0.08923742664161734	0.4049633641467989	18.19	DGE	NA	NA
TCGA-KIRC	ALL_DGE	CGC	15096	502	14594	0.03325384207737149	1.1632740893155185	0.2314537912665752	0.33432214294060864	1	3.33	DGE	NA	NA
TCGA-KIRC	ALL_TOX	MERGED	7540	1645	5895	0.21816976127320956	1.1949191945725792	2.8327500253796106e-6	8.183500073318874e-6	3.713708300325685e-5	21.82	TOX	NA	NA
TCGA-KIRC	ALL_TOX	NCG	7540	1469	6071	0.19482758620689655	1.1967751624274212	5.9566570695672225e-6	1.548730838087478e-5	7.028208611041469e-5	19.48	TOX	NA	NA
TCGA-KIRC	ALL_TOX	OncoKB	7540	574	6966	0.07612732095490717	1.2483635356959732	2.006215523509799e-4	4.741963964659525e-4	0.0021519240884248446	7.61	TOX	NA	NA
TCGA-KIRC	ALL_TOX	CGC	7540	280	7260	0.03713527851458886	1.27799500423015	0.0030240668438411026	0.006552144828322388	0.02973392120226199	3.71	TOX	NA	NA
TCGA-KIRC	ALL_edgeR	OncoKB	14316	1007	13309	0.07034087734003912	1.3012413285442257	0.005820675802616877	0.012107005669443104	0.054942123839275984	7.03	edgeR	NA	NA
TCGA-KIRC	ALL_edgeR	MERGED	14316	2943	11373	0.20557418273260689	1.1674099507433073	0.006776310640809544	0.013552621281619088	0.06150239102314501	20.56	edgeR	NA	NA
TCGA-KIRC	ALL_edgeR	NCG	14316	2609	11707	0.18224364347583125	1.1039655410608171	0.06604193213988137	0.10406607488708579	0.4722564216141673	18.22	edgeR	NA	NA
TCGA-KIRC	ALL_edgeR	CGC	14316	479	13837	0.033459066778429726	1.1577871253266125	0.17003066834847239	0.2526169929748733	1	3.35	edgeR	NA	NA
TCGA-KIRC	ALL_limma	OncoKB	14149	989	13160	0.06989893278676938	1.1951456938027993	0.036515782710776	0.06760508413619754	0.3067948431006633	6.99	limma	NA	NA
TCGA-KIRC	ALL_limma	MERGED	14149	2899	11250	0.2048908050038872	1.1131544860742015	0.037702835383648624	0.06760508413619754	0.3067948431006633	20.49	limma	NA	NA
TCGA-KIRC	ALL_limma	CGC	14149	479	13670	0.03385398261361227	1.2764472891803924	0.04729432750939212	0.08197683434961302	0.3720144772175881	3.39	limma	NA	NA
TCGA-KIRC	ALL_limma	NCG	14149	2579	11570	0.18227436567955332	1.096882438988555	0.07192711414428564	0.11000617457361332	0.49921285506315344	18.23	limma	NA	NA
TCGA-KIRC	ONLY_DGE	CGC	8705	255	8450	0.02929350947731189	0.7824756721974737	0.9976951855570955	0.9999999989614279	1	2.93	DGE_only	NA	NA
TCGA-KIRC	ONLY_DGE	OncoKB	8705	539	8166	0.061918437679494544	0.8010487100958867	0.9998417492371379	0.9999999989614279	1	6.19	DGE_only	NA	NA
TCGA-KIRC	ONLY_DGE	NCG	8705	1464	7241	0.1681792073520965	0.8355788383606643	0.9999950649985883	0.9999999989614279	1	16.82	DGE_only	NA	NA
TCGA-KIRC	ONLY_DGE	MERGED	8705	1648	7057	0.18931648477886273	0.8368766729516788	0.9999976480303667	0.9999999989614279	1	18.93	DGE_only	NA	NA
TCGA-KIRC	ONLY_TOX	CGC	1149	33	1116	0.028720626631853787	0.8596426321060824	0.8192550250324377	0.9999999989614279	1	2.87	TOX	NA	NA
TCGA-KIRC	ONLY_TOX	NCG	1149	187	962	0.16275021758050479	0.8742524769546988	0.9535730738139155	0.9999999989614279	1	16.28	TOX	NA	NA
TCGA-KIRC	ONLY_TOX	OncoKB	1149	65	1084	0.05657093124456049	0.8038022850621553	0.9604136187499055	0.9999999989614279	1	5.66	TOX	NA	NA
TCGA-KIRC	ONLY_TOX	MERGED	1149	205	944	0.1784160139251523	0.8444634892036452	0.9856778190583231	0.9999999989614279	1	17.84	TOX	NA	NA
TCGA-KIRC	TOX_AND_DGE	MERGED	6391	1440	4951	0.22531685182287592	1.2558173321842705	5.056479196337919e-9	4.382281970159529e-8	1.988698818493295e-7	22.53	shared	NA	NA
TCGA-KIRC	TOX_AND_DGE	NCG	6391	1282	5109	0.20059458613675482	1.2467128610023284	5.604070946131564e-8	2.4284307433236774e-7	1.1020325444427724e-6	20.06	shared	NA	NA
TCGA-KIRC	TOX_AND_DGE	OncoKB	6391	509	5882	0.07964324831794711	1.3252010746183789	4.1118272149769195e-6	1.125342185151578e-5	5.1068522957917665e-5	7.96	shared	NA	NA
TCGA-KIRC	TOX_AND_DGE	CGC	6391	247	6144	0.038648098889062746	1.3352655109444056	6.441341030450606e-4	0.0014563031894931804	0.006608767879460928	3.86	shared	NA	NA
TCGA-KIRC	full_family_mean_TOX	OncoKB	5176	453	4723	0.0875193199381762	1.5126541085644643	7.609265681771208e-11	1.9784090772605143e-9	8.978107345066997e-9	8.75	TOX	full	family_mean
TCGA-KIRC	full_family_mean_TOX	CGC	5176	234	4942	0.045208655332302936	1.69383927460206	3.2437071432480296e-9	3.373455428977951e-8	1.5308889002420855e-7	4.52	TOX	full	family_mean
TCGA-KIRC	full_family_mean_TOX	MERGED	5176	1184	3992	0.2287480680061824	1.2600129413840004	1.186109626042368e-8	8.811100079171877e-8	3.9985159413275747e-7	22.87	TOX	full	family_mean
