cancer_id	group	n_tests	n_significant_BH	significance_percent	mean_odds_ratio	median_odds_ratio	mean_precision	mean_precision_percent	mean_detected_n
ALL_CANCERS_COMBINED	ALL_DGE	4	4	100	Inf	8.909181371041806	0.11946902654867257	11.946902654867257	17628
ALL_CANCERS_COMBINED	ALL_edgeR	4	4	100	Inf	9.47416908772951	0.11960906869708507	11.960906869708507	17599
ALL_CANCERS_COMBINED	ALL_limma	4	4	100	7.377867373648238	4.404966279965278	0.11988237309427283	11.988237309427282	17513
ALL_CANCERS_COMBINED	std_log_ortholog_mean_TOX	4	4	100	1.6401726126847416	1.610222052740562	0.13874063138769022	13.87406313876902	8806
ALL_CANCERS_COMBINED	full_family_mean_TOX	4	4	100	1.6198669021202228	1.615112890719978	0.13721661785443107	13.721661785443107	9219
ALL_CANCERS_COMBINED	std_log_family_mean_TOX	4	4	100	1.6169657928303391	1.6199253932204754	0.1382286995515695	13.82286995515695	8920
ALL_CANCERS_COMBINED	full_ortholog_mean_TOX	4	4	100	1.6043086939116846	1.582065114334675	0.1373126928162186	13.731269281621861	9076
ALL_CANCERS_COMBINED	TOX_AND_DGE	4	4	100	1.5847540352747698	1.5788830031580132	0.1350802644003777	13.50802644003777	10590
ALL_CANCERS_COMBINED	ALL_TOX	4	4	100	1.4666663858531281	1.4619929945122396	0.13170311224026857	13.170311224026857	11021
ALL_CANCERS_COMBINED	log_family_mean_TOX	4	2	50	0.9446815631868353	0.945246901974258	0.12062273589787821	12.062273589787821	5797
ALL_CANCERS_COMBINED	log_ortholog_mean_TOX	4	1	25	0.920772241518307	0.9276870731157372	0.11850421348314606	11.850421348314606	5696
ALL_CANCERS_COMBINED	ONLY_DGE	4	0	0	0.682161666810596	0.6840106546601061	0.0959789712986644	9.597897129866439	7038
ALL_CANCERS_COMBINED	ONLY_TOX	4	0	0	0.24234226782125134	0.24838775636906085	0.048723897911832945	4.872389791183294	431
TCGA-BLCA	ALL_DGE	4	4	100	1.5128752484031747	1.5140199378250037	0.12854609929078015	12.854609929078014	9870
TCGA-BLCA	ALL_limma	4	4	100	1.4040353704505988	1.3558746849138608	0.13169284036107332	13.169284036107332	8087
TCGA-BLCA	ALL_edgeR	4	3	75	1.3031526795823605	1.308560794596843	0.12837454627949182	12.837454627949182	8816
TCGA-BLCA	full_ortholog_mean_TOX	4	2	50	1.8509712598963235	1.7056727440138157	0.171875	17.1875	240
TCGA-BLCA	TOX_AND_DGE	4	2	50	1.192179292182901	1.2421366003845482	0.14770210409745294	14.770210409745294	1806
TCGA-BLCA	ONLY_DGE	4	1	25	1.094206794435492	1.0578989585084497	0.12425595238095238	12.425595238095239	8064
